,edit_history_tweet_ids,id,text
83,['1600112109572218880'],1600112109572218880,"@GiorgioMilano61 @demelza72 @GiorgiaMeloni Ah sì sì. Quindi lo spread a 600 nel 2011 fa parte di quella bolla. Ok. E perché si è dimesso il berlusca considerando che era la bolla finanziaria che ha colpito spagna, Grecia ecc?"
84,['1600111044306694144'],1600111044306694144,"@eleaunt @GiorgiaMeloni Quelle cose elencate si trovano nell'allegato dell'allegato dell'appendice del sommario del diario di gioggia. Un po' di pazienza, cribbio!"
85,['1600109167716749320'],1600109167716749320,"@SospendimiTutto @GiorgiaMeloni @lefrasidiosho anche quiiii
Buon lavorooo"
86,['1600107835177676800'],1600107835177676800,"@abralacabria @demelza72 @GiorgiaMeloni Eh sì. Vedi Grecia, vedi portogallo, vedi Irlanda, vedi spagna. In quei anni era scoppiata la famosa bolla finanziaria con grosse banche e società finanziaria saltate a gambe all aria. Noi abbiamo rischiato ne più né meno come gli altri paesi. L ho già spiegato."
87,['1600105447570042880'],1600105447570042880,"@GiorgioMilano61 @demelza72 @GiorgiaMeloni E certo, la colpa è sempre degli altri. Difatti dal 2009 in poi tutte le nazioni europee hanno rischiato il default. Giusto?"
88,['1600103365186232321'],1600103365186232321,@DonatellaTronz1 @GiorgiaMeloni Vorrei segnalarle che in vita mia non ho mai votato PD o 5S e non ho la minima intenzione di farlo in futuro. Altra figura di merda... complimenti davvero 😂😂
89,['1600102148460924928'],1600102148460924928,@GiorgiaMeloni Machedavero?
90,['1600101841043341314'],1600101841043341314,@GiorgiaMeloni Te lo dico da in pesarese.... beda a gi!!
91,['1600099550122758145'],1600099550122758145,@GiorgiaMeloni https://t.co/1OlTyfZqmL
92,['1600099496330817537'],1600099496330817537,@GiorgiaMeloni https://t.co/xO8OysD7mV
93,['1600099444929617920'],1600099444929617920,@GiorgiaMeloni https://t.co/8RbrqvIMeb
94,['1600099403448156160'],1600099403448156160,@GiorgiaMeloni https://t.co/fy156ji0gJ
95,['1600099329728864257'],1600099329728864257,@GiorgiaMeloni Come allora https://t.co/5e7je7FGYf
96,['1600099228008620032'],1600099228008620032,@GiorgiaMeloni https://t.co/sGT0NYdYpP
97,['1600099175042990080'],1600099175042990080,@GiorgiaMeloni https://t.co/Whnfi3j8wU
98,['1600099081967194113'],1600099081967194113,@GiorgiaMeloni https://t.co/5ih4rm9MdJ
99,['1600099010806566912'],1600099010806566912,"@GiorgiaMeloni Quanto inserito all’art.56 del draft non corrisponde alla misura dell’Opzione Donna. Chiediamo all’Esecutivo ed ai Parlamentari TUTTI di inserire la proroga della misura con i requisiti vigenti, come promesso."
